"Date & Time","°C","°C mean","°F","°F mean","H%","H% mean","inHg","inHg mean","kPa","kPa mean","Hg 1hr delta","Hg 3hr delta","Dew Point"
"2018-07-16 16:16:17","29.2600","29.2800","84.6700","84.7025","52.8700","52.9150","29.4000","29.4000","99.5599","99.5572","0.0000","0.0000","67.7032"
"2018-07-16 16:16:23","29.2600","29.2760","84.6700","84.6960","52.8300","52.9060","29.4000","29.4000","99.5539","99.5578","0.0000","0.0000","67.6888"
"2018-07-16 16:16:29","29.2700","29.2733","84.6900","84.6917","52.8700","52.8933","29.4000","29.4000","99.5549","99.5571","0.0000","0.0000","67.7232"
"2018-07-16 16:16:35","29.2600","29.2729","84.6700","84.6914","52.8200","52.8900","29.4000","29.4000","99.5601","99.5568","0.0000","0.0000","67.6852"
"2018-07-16 16:16:41","29.2600","29.2712","84.6700","84.6887","52.9200","52.8813","29.4000","29.4000","99.5557","99.5572","0.0000","0.0000","67.7212"
"2018-07-16 16:16:47","29.2500","29.2700","84.6500","84.6867","52.8700","52.8856","29.4000","29.4000","99.5559","99.5571","0.0000","0.0000","67.6832"
"2018-07-16 16:16:53","29.2500","29.2680","84.6500","84.6830","52.8700","52.8840","29.4000","29.4000","99.5608","99.5569","0.0000","0.0000","67.6832"
"2018-07-16 16:16:59","29.2400","29.2664","84.6300","84.6800","52.9800","52.8827","29.4000","29.4000","99.5609","99.5573","0.0000","0.0000","67.7028"
"2018-07-16 16:17:05","29.2400","29.2642","84.6300","84.6758","53.0800","52.8908","29.4000","29.4000","99.5623","99.5576","0.0000","0.0000","67.7388"
"2018-07-16 16:17:11","29.2400","29.2623","84.6300","84.6723","53.1000","52.9054","29.4000","29.4000","99.5569","99.5579","0.0000","0.0000","67.7460"
"2018-07-16 16:17:17","29.2500","29.2607","84.6500","84.6693","53.0500","52.9193","29.4000","29.4000","99.5590","99.5579","0.0000","0.0000","67.7480"
"2018-07-16 16:17:23","29.2500","29.2600","84.6500","84.6680","53.1400","52.9280","29.4000","29.4000","99.5563","99.5580","0.0000","0.0000","67.7804"
"2018-07-16 16:17:29","29.2600","29.2594","84.6700","84.6669","53.1100","52.9412","29.4000","29.4000","99.5585","99.5578","0.0000","0.0000","67.7896"
"2018-07-16 16:17:35","29.2600","29.2594","84.6700","84.6671","53.0800","52.9512","29.4000","29.4000","99.5571","99.5579","0.0000","0.0000","67.7788"
"2018-07-16 16:17:41","29.2500","29.2594","84.6500","84.6672","52.9600","52.9583","29.4000","29.4000","99.5570","99.5578","0.0000","0.0000","67.7156"
"2018-07-16 16:17:47","29.2400","29.2589","84.6300","84.6663","52.9500","52.9584","29.4000","29.4000","99.5592","99.5578","0.0000","0.0000","67.6920"
"2018-07-16 16:17:53","29.2500","29.2580","84.6500","84.6645","52.9900","52.9580","29.4000","29.4000","99.5574","99.5579","0.0000","0.0000","67.7264"
"2018-07-16 16:17:59","29.2600","29.2576","84.6700","84.6638","53.0100","52.9595","29.4000","29.4000","99.5577","99.5578","0.0000","0.0000","67.7536"
"2018-07-16 16:18:05","29.2700","29.2577","84.6900","84.6641","53.2300","52.9618","29.4000","29.4000","99.5550","99.5578","0.0000","0.0000","67.8528"
"2018-07-16 16:18:11","29.2500","29.2583","84.6500","84.6652","52.9900","52.9735","29.4000","29.4000","99.5550","99.5577","0.0000","0.0000","67.7264"
"2018-07-16 16:18:17","29.2400","29.2579","84.6300","84.6646","53.0800","52.9742","29.4000","29.4000","99.5562","99.5576","0.0000","0.0000","67.7388"
"2018-07-16 16:18:23","29.2600","29.2572","84.6700","84.6632","52.9600","52.9784","29.4000","29.4000","99.5579","99.5575","0.0000","0.0000","67.7356"
"2018-07-16 16:18:29","29.2500","29.2573","84.6500","84.6635","52.9000","52.9777","29.4000","29.4000","99.5599","99.5576","0.0000","0.0000","67.6940"
"2018-07-16 16:18:35","29.2500","29.2570","84.6500","84.6630","52.9000","52.9748","29.4000","29.4000","99.5575","99.5576","0.0000","0.0000","67.6940"
"2018-07-16 16:18:41","29.2500","29.2568","84.6500","84.6625","52.9000","52.9721","29.4000","29.4000","99.5578","99.5576","0.0000","0.0000","67.6940"
"2018-07-16 16:18:47","29.2500","29.2566","84.6500","84.6621","52.9300","52.9697","29.4000","29.4000","99.5575","99.5576","0.0000","0.0000","67.7048"
"2018-07-16 16:18:53","29.2500","29.2563","84.6500","84.6617","52.9700","52.9683","29.4000","29.4000","99.5554","99.5576","0.0000","0.0000","67.7192"
"2018-07-16 16:18:59","29.2500","29.2561","84.6500","84.6613","53.1000","52.9684","29.4000","29.4000","99.5564","99.5576","0.0000","0.0000","67.7660"
"2018-07-16 16:19:05","29.2600","29.2559","84.6700","84.6609","52.9900","52.9725","29.4000","29.4000","99.5590","99.5575","0.0000","0.0000","67.7464"
"2018-07-16 16:19:11","29.2800","29.2561","84.7000","84.6612","53.0900","52.9730","29.4000","29.4000","99.5587","99.5576","0.0000","0.0000","67.8124"
"2018-07-16 16:19:17","29.2800","29.2568","84.7000","84.6624","53.0700","52.9765","29.4000","29.4000","99.5614","99.5576","0.0000","0.0000","67.8052"
"2018-07-16 16:19:23","29.2800","29.2574","84.7000","84.6634","53.1300","52.9791","29.4000","29.4000","99.5551","99.5577","0.0000","0.0000","67.8268"
"2018-07-16 16:19:29","29.2900","29.2581","84.7200","84.6644","53.0400","52.9833","29.4000","29.4000","99.5552","99.5576","0.0000","0.0000","67.8144"
"2018-07-16 16:19:35","29.2900","29.2589","84.7200","84.6659","53.0500","52.9849","29.4000","29.4000","99.5605","99.5576","0.0000","0.0000","67.8180"
"2018-07-16 16:19:41","29.3100","29.2597","84.7600","84.6674","53.0300","52.9866","29.4000","29.4000","99.5552","99.5577","0.0000","0.0000","67.8508"
"2018-07-16 16:19:47","29.3100","29.2610","84.7600","84.6697","53.0700","52.9877","29.4000","29.4000","99.5575","99.5576","0.0000","0.0000","67.8652"
"2018-07-16 16:19:53","29.3000","29.2623","84.7400","84.6720","52.9300","52.9897","29.4000","29.4000","99.5564","99.5576","0.0000","0.0000","67.7948"
"2018-07-16 16:19:59","29.3100","29.2632","84.7600","84.6737","52.9400","52.9883","29.4000","29.4000","99.5558","99.5576","0.0000","0.0000","67.8184"
"2018-07-16 16:20:05","29.3100","29.2643","84.7600","84.6757","53.1000","52.9871","29.4000","29.4000","99.5571","99.5575","0.0000","0.0000","67.8760"
"2018-07-16 16:20:11","29.3100","29.2653","84.7600","84.6777","53.0200","52.9898","29.4000","29.4000","99.5567","99.5575","0.0000","0.0000","67.8472"
"2018-07-16 16:20:18","29.3200","29.2664","84.7800","84.6795","53.3400","52.9905","29.4000","29.4000","99.5551","99.5575","0.0000","0.0000","67.9824"
"2018-07-16 16:20:24","29.3200","29.2676","84.7800","84.6818","53.2000","52.9982","29.4000","29.4000","99.5577","99.5574","0.0000","0.0000","67.9320"
"2018-07-16 16:20:30","29.3200","29.2687","84.7800","84.6839","53.0000","53.0026","29.4000","29.4000","99.5550","99.5574","0.0000","0.0000","67.8600"
"2018-07-16 16:20:36","29.3100","29.2698","84.7600","84.6860","53.1100","53.0026","29.4000","29.4000","99.5535","99.5574","0.0000","0.0000","67.8796"
"2018-07-16 16:20:42","29.3100","29.2706","84.7600","84.6875","53.0400","53.0048","29.4000","29.4000","99.5546","99.5573","0.0000","0.0000","67.8544"
"2018-07-16 16:20:48","29.3000","29.2714","84.7400","84.6890","53.0500","53.0055","29.4000","29.4000","99.5548","99.5573","0.0000","0.0000","67.8380"
"2018-07-16 16:20:54","29.3000","29.2720","84.7400","84.6900","52.8900","53.0064","29.4000","29.4000","99.5529","99.5572","0.0000","0.0000","67.7804"
"2018-07-16 16:21:00","29.3000","29.2725","84.7400","84.6910","52.9500","53.0041","29.4000","29.4000","99.5573","99.5571","0.0000","0.0000","67.8020"
"2018-07-16 16:21:06","29.3000","29.2731","84.7400","84.6919","52.9500","53.0031","29.4000","29.4000","99.5536","99.5571","0.0000","0.0000","67.8020"
"2018-07-16 16:21:12","29.3000","29.2736","84.7400","84.6928","52.9200","53.0021","29.4000","29.4000","99.5542","99.5571","0.0000","0.0000","67.7912"
"2018-07-16 16:21:18","29.2900","29.2741","84.7200","84.6937","52.9000","53.0006","29.4000","29.4000","99.5525","99.5570","0.0000","0.0000","67.7640"
"2018-07-16 16:21:24","29.3000","29.2744","84.7400","84.6942","52.9500","52.9987","29.4000","29.4000","99.5583","99.5569","0.0000","0.0000","67.8020"
"2018-07-16 16:21:30","29.3100","29.2748","84.7600","84.6950","53.0300","52.9979","29.4000","29.4000","99.5607","99.5569","0.0000","0.0000","67.8508"
"2018-07-16 16:21:36","29.3100","29.2754","84.7600","84.6961","53.0800","52.9984","29.4000","29.4000","99.5562","99.5570","0.0000","0.0000","67.8688"
"2018-07-16 16:21:42","29.3000","29.2760","84.7400","84.6972","53.0200","52.9998","29.4000","29.4000","99.5581","99.5570","0.0000","0.0000","67.8272"
"2018-07-16 16:21:48","29.3100","29.2764","84.7600","84.6980","52.9400","53.0002","29.4000","29.4000","99.5565","99.5570","0.0000","0.0000","67.8184"
"2018-07-16 16:21:54","29.2900","29.2770","84.7200","84.6990","52.9500","52.9992","29.4000","29.4000","99.5599","99.5570","0.0000","0.0000","67.7820"
"2018-07-16 16:22:00","29.3000","29.2772","84.7400","84.6993","53.0600","52.9984","29.4000","29.4000","99.5595","99.5571","0.0000","0.0000","67.8416"
"2018-07-16 16:22:06","29.3100","29.2776","84.7600","84.7000","53.0500","52.9994","29.4000","29.4000","99.5604","99.5571","0.0000","0.0000","67.8580"
"2018-07-16 16:22:12","29.3200","29.2781","84.7800","84.7010","53.0000","53.0002","29.4000","29.4000","99.5587","99.5571","0.0000","0.0000","67.8600"
"2018-07-16 16:22:18","29.3200","29.2788","84.7800","84.7022","52.9900","53.0002","29.4000","29.4000","99.5573","99.5572","0.0000","0.0000","67.8564"
"2018-07-16 16:22:24","29.3200","29.2794","84.7800","84.7034","52.9500","53.0000","29.4000","29.4000","99.5550","99.5572","0.0000","0.0000","67.8420"
"2018-07-16 16:22:30","29.3300","29.2800","84.7900","84.7045","52.9800","52.9992","29.4000","29.4000","99.5552","99.5571","0.0000","0.0000","67.8628"
"2018-07-16 16:22:36","29.3300","29.2807","84.7900","84.7058","52.9300","52.9990","29.4000","29.4000","99.5543","99.5571","0.0000","0.0000","67.8448"
"2018-07-16 16:22:42","29.3200","29.2815","84.7800","84.7071","52.9300","52.9979","29.4000","29.4000","99.5530","99.5571","0.0000","0.0000","67.8348"
"2018-07-16 16:22:48","29.3300","29.2820","84.7900","84.7081","52.9100","52.9970","29.4000","29.4000","99.5552","99.5570","0.0000","0.0000","67.8376"
